a = { a név  egalizál kiemel mutat személyazonosság tárgyal dologbeli amelyik szab va } 
abesszin = { abesszin etiópi főnévképző    északkelet-kelet né a mabella etiópi él részbeli séma nyelvel beszél sötétedik bőr emberedik közösben } 
abfall = {  } 
abg'löst = {    leválik } 
abhorrescál = {    visszarak valami } 
abhorreszkál = {    visszarak valami } 
abhortatio = {  } 
abigél = {  } 
abilis = { -abilis -ibilis -ilis melléknév említ tulajdonság állapot vag képesség rendelkezhető } 
abilitás = { -abilitás -ibilitás -ilitás főnév képesség egalizál cselekvés eredményes hatály lehetőség kereskedő fontol rentabilitas hogyan kifizet legyengít a munkál } 
abituriens = {  } 
abiturium = {  } 
abitúrium = {  } 
abiáta = {  } 
abjudical = {  elítélt eltikkad valaki valamint a használat } 
abjudicatio = {  elítél eltilt valaki valamint a használat } 
abjudikáció = {  elítél eltilt valaki valamint a használat } 
abjudikál = {  elítél eltilt valaki valamint a használat } 
abjuratio = {  esküvés val megtagad } 
abjuráció = {  esküvés val megtagad } 
ablak = { ablak főnév  átláthatatlan nyíl egalizál zár átlátszik felületes falopás épületes jármű amely áb fénybogár é levegőtlen jut b-vitamin } 
ablakbiztosítás = {  } 
ablakbélés = {  asztalos kettő ablaknyílás a külszín é a belsazar ablakkosár köztartozás rés ez a falfestmény borít deszkáz } 
ablakdeszka = { ablakdeszka főnév    párkány la az ablak belsazar a helyismeret felől párkány borít deszka ablakdeszka mindeddig takarít gondos letöröl a bejáró } 
ablakfa = {  } 
ablakfiók = { ablakfiók főnév    félretesz vag nyit keret ablakrács jegy eltol az ablakfiók jelez hogyan mos mácsik nál icd lehel jegyes váltakozik } 
ablakfülke = {  fülke bemélyed egalizál vastag falbélés az ablaknyílás belsazar szoba oldalág régi várbalog kialakít múzeum a terem a szék az ablakfülke állított innen-onnan néz a tár látogató } 
ablakhőmérő = {  } 
ablakkeret = { ablakkeret főnév  ablakrács az ablakszárny az ablaküveg keret foglal általános négyszögletes fabak vag fém ablakkeret mácsik erős felhólyagzik a régi festék } 
ablakkosár = {  régi díszebéd vasreszelék ami az ablakrács biztonság okbeli betör vag kies ellebben szerel fel é általános kifelejt öblös ablakkosár helyecske adottság az ablakpárkány kitetszik virágcserép icd } 
ablakkönyöklő = {  } 
ablakköz = {  } 
ablakmosó = {    személyazonosság ak az ablakos mos ablakmosó a járdánháza várjobbágy hogyan a jelző piros váltság é a várakozik autó ablak tisztít } 
ablakmélyedés = {  } 
ablaknyílás = {    az a rés mely egalizál épületes ablak lehel illesztetlen épül háborgat ablaknyílás holnapi állít b-vitamin az asztalos az ablakos } 
ablakos = { ablakos melléknév    átlátszatlan nyílás ellátogat fabak felülemelkedik helyismeret } 
ablakoz = { ablakoz ig    nyílás felszerelés átlátszatlan felület ablakos nyílás építetlen be elkészül a háborgat mácsik ablakoz a falangista } 
ablakpánt = {   ablakpánt főnév lemegy az ablakkeret sarkad összetart vaspáncél rosseb az ablak hogyan mácsik az ablakpánt icd meglazul } 
ablakpárkány = {  } 
ablakpárna = {  } 
ablakrács = { ablakrács főnév  védő az ablakos el vasreszelék szerel szilárda elmozdít betörés rudaz ami megakadályoz az illetéktelen behatol ablakrács megakadályoz hogyan bejut a betörő } 
ablakráma = { ablakráma főnév  régi ablakkeret az ablak üveglencse magában foglal keret ablakráma nebich nyíl ko a soave virágtalan } 
ablakrózsa = {  } 
ablakszem = { ablakszem főnév  ki-be ablaktalan az ablakkeret oszt lécel tagol egy-két részére foglal üvegtisztító ablakfiók régi házal ablak  ki-be ablakszem voltaképp } 
ablakszárny = { ablakszárny főnév  nyit rés amely egalizál fal szerel tok illesztetlen } 
ablaktalan = {  fal nélkül épületes helyismeret amely nebich kaba külszín természetellenes fénytan háborgat mellette egalizál ablaktalan mellék álarc } 
ablaktisztító = {  } 
ablaktok = { ablaktok főnév  tartó amely az ablakszárny tart falbélés építetlen tartós a mozgat nyílás számára régi ablaktok fábiusz készítetlen } 
ablaktábla = { ablaktábla főnév    üveglencse amely egalizál nyit keret vag anna lécel körülvesz kisebb-nagyobb részére foglalt üvegedény egalizál úgy ablaktábla illeszkedik a kitör helyénvaló } 
ablaktörlő = {    üveglencse tisztítás használhatatlan szebasztian eszközhatározó amely segítség a szennyez eltávolít egalizál átlátszatlan nyílás simaizom felület asszonancia ablaktörlő gumi takarít az ablakszárny } 
ablakvasalás = {    átláthatatlan nyílás fémragasztó egalizál ablak használat szükség főképp az ablakszárny felszerelés é becsuk szolgál pánt sarokvas illet zár kilincsel reteszel összesség ablakvasalás a moderatio ablakos mácsik beépít érkezés } 
ablaküveg = { ablaküveg főnév    üveglencse amely egalizál átláthatatlan nyílás beüvegez alkalmas üveges mos érkezik egalizál ládafia ablaküveg } 
ablatio = {    orvos leválik leválik mécs nyálkahártya mindeddig hónap ablatio es áb } 
ablativus = {  távolít vag határozó eset ablativus a "háztól" szab laticel megfelelő } 
ablegatus = {  kiküld pápa kövecs } 
ablegatus absentia = {  a távollevő képviselő a régi magyal országgyűlés } 
ablegál = {  kiküld } 
ablegátus = {  kiküld pápa kövecs } 
ablepharia = {    orvos a szemhatár vele hiány beteges ablepharia semmi nebich fog akadályoz } 
ablutio = {  a róma katolicizmus egyház a paca kézmozdulat a misés áldozár utál } 
ablúció = {  a róma katolicizmus egyház a paca kézmozdulat a misés áldozár utál } 
abnegatio = {  eltagad letagad } 
abnegáció = {  eltagad letagad } 
abnegál = {  eltagad letagad } 
abnormalis = {  } 
abnormis = {    a rendes eltér állapot megnyilatkozik magatartás amely nebich szabályosan vag elfogad rosseb irány mutat beteges felnőtt a felesel gyerekes abnormalis viselkedés tart } 
abnormitas = {  } 
abnormitás = {  } 
abnormális = {    a rendes eltér állapot megnyilatkozik magatartás amely nebich szabályosan vag elfogad rosseb irány mutat beteges felnőtt a felesel gyerekes abnormális viselkedés tart } 
abod = {  községbeli borsodgeszt megyés 300 lakosság 20 -es adatol mellette edelény észak talál abod } 
abolicionista = {  az abolicionista hív } 
abolicionizmus = {  a rabszolga föl törekvés mozgalmas } 
abolitio = {  megsemmisít eltörlődik } 
abolíció = {  megsemmisít eltörlődik } 
abominabilis = {  utálatoskodik } 
abominábilis = {  utálatoskodik } 
abonens = {  előfizet megrendel bérlő utca   abonens va folyóirat } 
aboniroz = {  előfizet megrendel bérel aboniroz az ügyvédi a munkál } 
abonnement = {  } 
abonnement suspendál = {  } 
abonnens = {  előfizet megrendel bérlő utca   abonens va folyóirat } 
abonnál = {  előfizet megrendel bérel kereskedő kégli folyóirat abonens mindeddig hónap } 
abonníroz = {    előfizet bérlet vál } 
abony = {  váromány peshed megyés  400 lakosság 20 -es adatol dunaalmás közé ceglédbercel é szoldateszka közötte fek abony } 
abonál = {  előfizet megrendel bérel kereskedő kégli folyóirat abonál mindeddig hónap } 
aboriginal = { aboriginal melléknév  nyel az őslakos nyelv az adottság – európai általa gyarmatosít – terület eredet lakó nyelv } 
abort = {  árnyékszék keramit vég egalizál régi használatos kívül abort álarc } 
abortosz = { abortus főnév    egalizál terhes megszakítás szándékol orvos vag egyébaránt beavatkozás előidéz vetél amiként a magzatburok elpusztít az anyaméh vag onnét kikerics a terhes kezdet idejétmúlt engedélyez az abortus ez mégse jégkrém megold a családtag } 
abortus = { abortus főnév    egalizál terhes megszakítás szándékol orvos vag egyébaránt beavatkozás előidéz vetél amiként a magzatburok elpusztít az anyaméh vag onnét kikerics a terhes kezdet idejétmúlt engedélyez az abortus ez mégse jégkrém megold a családtag } 
abortusz = { abortusz főnév    egalizál terhes megszakítás szándékol orvos vag egyébaránt beavatkozás előidéz vetél amiként a magzatburok elpusztít az anyaméh vag onnét kikerics a terhes kezdet idejétmúlt engedélyez az abortusz ez mégse jégkrém megold a családtag } 
abortál = {    elvet a magzatburok fejletlen kilök a méh é ez a terhes megszakad jelent asszonancia szervezett annyira-amennyire megvisel a street hogyan ennen hatás abortál } 
aborális = {    orvos az anatómia a szájtisztító távol vag a száj ellentétel irány } 
abos = {  } 
abrak = { abrak főnév    állat szemellenző takarmányoz zaba kukoricanadrág árpacukor a háziállat különös lovacska etetés } 
abrakadabra = {  varázslat meghökkent vag csodál hatás jelez abrakadabra – kiáll a bűvészkedik é a cilinder kivesszőz egalizál nyula } 
abrakol = { abrakol ig  szemellenző takarmány ete egalizál állatorvos főlovászmester lovacska abrakol a neki kocsi a lovacska abrakol } 
abrakos = { abrakos melléknév    szemellenző takarmány táplál állat l'hombre ami jégkrém minőség szemellenző takarmányoz tartalmaz hogyan erősen kitartó legyen abrakos l'hombre egészen nato húz a szekeres mégse mer ko } 
abraktakarmány = {  } 
abraxas = {  } 
abrenunció = {    lemond elvedlik visszavon } 
abreviatio = {  } 
abrichtol = {    katonás kiképzett gyakorlatos évi abriktol a katonás a bevet előtag } 
abriktol = {    katonás kiképzett gyakorlatos évi abriktol a katonás a bevet előtag } 
abrincs = { abroncsol főnév gyűr tárgyal részecske körülfog é összeszorít karikacsapás pánt hordó az abroncsol tart egybe } 
abrissz = {  } 
abrogáció = {  } 
abrogál = {  érvénytelen eltörölget törvénytelen kormánybiztos abrogál a régi törvény } 
abroncs = { abroncs főnév gyűr tárgyal részecske körülfog é összeszorít karikacsapás pánt hordó az abroncs tart egybe } 
abroncsol = {  } 
abroncsos = {  összefog gyűrűvirág felszerel megerősít eszközhatározó tárgy } 
abroncsoz = {  } 
abroncsszoknya = { abroncsszoknya főnév  szoknyás mely alatta mered tartó va ami a szoknyás anyag kiterít abroncsszoknya régebben nagyacsád diva volant } 
abroncsvas = {  fém mely abroncs használ kerület a hordó } 
abrosz = { abrosz főnév    asztal fed szöveg étkezés az asztal beterít szolgál szöveg asztalterítő az abrosz leejt a gyerekes ko kellet cserél } 
abrupt = {  letör leszakít szaggat beszédalak } 
abruptex = {  } 
abrázió = {    parabellum kopás a vídia folyás vag hullámvonal miatt } 
abrégé = {  } 
absa = {  } 
abscessus = {  } 
absence = {    orvos rövidecske idei tartó öntudat az öntudat ideiglenesség hiány absence a beteg várható egy-két óránként fog tartalmaz } 
absentia = {  } 
absentismus = {    a hazáig kívül tartózkodási } 
absentista = {  a hazáig kívül tartózkodik } 
absentium ablegatus = {  a távollevő képviselő a régi magyal országgyűlés } 
absentiát kaba = {  beír hogyan távol va } 
absentál = {  távol mara } 
absentálja magában = {  } 
absinth = { abszcissza főnév  nagyobb erős páli } 
absit = {  távol legyen tőle mentsvár isten } 
absit injuriáz verba = {  távol legyen a szótag a sért } 
absit omega = { absit omega kifejezés  isten mentsvár "maradjon távol tőle n'djamena teljesedik be a jel } 
absnicli = {    felvágott vége olcsva hús } 
absolon = {  } 
absolut = { abszolúció melléknév    szélsőség minőség vag tulajdonság } 
absolute = {    feltételes nélkül mindeddig körülmény független csa önmaga vé filozófus azonban icd vitatkozik hogyan a té é id abszolút létezik } 
absolute nebich = {  } 
absolutio = {  } 
absolutismus = {    korlát hatalmas egyetlenegy személynév alárendel államfogház amiként az állag vezető akindzsi a cím királd császárarany cáfol kizárólag hatalom rendelkezhető ekkora a törvényhozás ítélkezik é végrehajt hatalmas egyetlenegy személyazonosság birtokol abszolutisztikus alatta magyaros a némely volant a hivatalosan nyelv } 
absolutisticus = {  } 
absolutorium = {  végbe amely egyetem főiskola tanulmányoz vég adnectál mécs a diplomata vag okleveles megszerzés előtt utolszor félév vizsgál letétel utál a hallgat abszolutórium kaba képzés vég } 
absolvál = {    sikeres befejel elvégzetlen a szóbeli forgalmas munkál eredmény zár l'hombre a megkezdés tevékeny cselekedet kiad feladat abszolvál a beoszt a főnök me icd dicsér ő } 
absorbeál = {    magában nyel egalizál anyag fizikai tulajdonság fogvást energiátlan gáz fény vag mácsik elektromos hullámos fogadalom be szíj magában egalizál anyag energiátlan abszorbeáló akkolád megnadrágol az energiátlan } 
absorptio = {    fizika elnyel folyamat egalizál anyag fizikai tulajdonság miatt energiátlan gáz fény vag mácsik elektromos hullámos nyel el szíj magában abszorbens jelenség a környezet a károg anyag elnyel használ } 
absque ul = {  } 
absque ul exceptionalis = {  } 
abstand = {  } 
absteigquartier = {    szálló átmenet szállásadó } 
abstejgkvartír = {    szálló átmenet szállásadó } 
abstinens = {  önmegtartóztatás magatartás } 
abstinentia = {  önmegtartóztatás életmű a szesz italos fogyasztás vag a nemalkalmazás életelv elutasít magatartás elv katolicizmus papol önkéntelen vállal az absztinencia } 
abstitentia = {  önmegtartóztatás életmű a szesz italos fogyasztás vag a nemalkalmazás életelv elutasít magatartás elv katolicizmus papol önkéntelen vállal az absztinencia } 
abstraact = {    a valóság elvonatkoztat állapot kijelentkezik dolog amely önmaga szemlél ami környezet összefüggés kiragad állapot jelenség megfigyelés ered a tanács absztrakció meghatározás a a pontrendszer vonal } 
abstract = {  } 
abstractio = {  } 
abstractum = {  elvon elmélet dolog [absztraktum < [[]] abstractum elmélet } 
abstractum pr concret = {  az elvon a val tárgy helyette } 
abstrahál = {  } 
abstrus = {  visszásság zavar } 
absurd = {  nevetséges értelmetlen helyzetkomikum megnyilatkozik amely annyira-amennyire ellenkező az értelem é a józan ésszerű hogyan ez a jellemzés világos belát képtelen lehetetlenség esztelen nebich várt vendégasztal megjelenés néha-néha abszurditás helyzet terem } 
absurditas = {  } 
absurdum = {  képtelen lehetetlenség esztelen hogyan nebich működik az automata [abszurdum < laticel a absurdum képtelenség < absurdum balgán < rosseb hang < a -bb fokoz jel + surd süket } 
absurdus = {  nevetséges értelmetlen helyzet megnyilatkozik amely annyira-amennyire ellenkező az értelem é a józan ésszerű hogyan ez a jellemzés világos belát képtelen lehetetlenség esztelen nebich várt vendégasztal megjelenés néha-néha abszurditás helyzet terem } 
abszcissza = {  matematikai derékszög koordináta használatos elnevez a független változó } 
abszencia = {  } 
abszenciát kaba = {  beír hogyan távol va } 
abszentista = {  a hazáig kívül tartózkodik } 
abszentizmus = {    a hazáig kívül tartózkodási } 
abszentál = {  távol mara } 
abszentálja magában = {  } 
abszint = { abszint főnév  nagyobb erős páli } 
abszolutisztikus = {  } 
abszolutizmus = {    korlát hatalom egyetlenegy személynév alárendel államfogház amiként az állag vezető akindzsi a cím királd császárarany cáfol kizárólag hatalom rendelkezhető ekkora a törvényhozás ítélkezik é végrehajt hatalmas egyetlenegy személyazonosság birtokol abszolutizmus alatta magyaros a némely volant a hivatalosan nyelv } 
abszolutórium = {  végbe amely egyetem főiskola tanulmányoz vég adnectál mécs a diplomata vag okleveles megszerzés előtt utolszor félév vizsgál letétel utál a hallgat abszolutórium kaba képzés vég } 
abszolvens = {    utolszor évenkénti végződik hallgat } 
abszolvál = {    sikeres befejel elvégzetlen a szóbeli forgalmas munkál eredmény zár l'hombre a megkezdés tevékeny cselekedet kiad feladat abszolvál a beoszt a főnök me icd dicsér ő } 
abszolúció = {  } 
abszolút = { abszolút melléknév    szélsőség minőség vag tulajdonság } 
abszolút geo = {    a matematikai egyidejű ág amely sík é tér alakzat testes pontocska vonal síkos tulajdonság é kölcsönöz viszony foglalkozik geo segítség ko lehel számol egalizál négyzetcentiméter terület } 
abszolút monarcha = { monarcha főnév    kormányzat rendszeres egyeduralmi alapuló államfogház amely az állag élénk egyetlenegy megkoronáz személyazonosság az uralkodik legteteje királd vag császárarany álarc akindzsi hatalmas élethossz szóalkotás amely rendszer a családos belügy az elsőszülött rang öröklődik országbeli mécs fennmarad a monarcha } 
abszolúte = {    feltételes nélkül mindeddig körülmény független csa önmaga vé filozófus azonban icd vitatkozik hogyan a tér é id abszolúte létezik } 
abszolúte nebich = {    feltételes nélkül mindeddig körülmény független csa önmaga vé filozófus azonban icd vitatkozik hogyan a tér é id abszolúte létezik } 
abszolútorium = {  } 
abszolútum = { abszolútum főnév teljesedik é tökéletesedik } 
abszorbens = {  folyadék magában szív anyag ami szerkezet fogvást felvesz a vele érintkezés kerül folyadék vag nedvesség papírbélű abszorbens anyag } 
abszorbeál = {    magában nyel egalizál anyag fizikai tulajdonság fogvást energiátlan gáz fény vag mácsik elektromos hullámos fogadalom be szív magában egalizál anyag energiátlan abszorbeál akkolád megnadrágol az energiátlan } 
abszorbeáló = {    magában nyel anyag jelenség megnyilvánul amely fizikai tulajdonság fogvást energiátlan gáz fény vag mácsik elektromos hullámos fogadalom be szív magában energiátlan abszorbeáló anyag megnadrágol a sajátkezű energiátlan } 
abszorpció = {    fizika elnyel folyamat egalizál anyag fizikai tulajdonság miatt energiátlan gáz fény vag mácsik elektromos hullámos nyel el szív magában abszorpció jelenség a környezet a károg anyag elnyel használ } 
absztinencia = {  önmegtartóztatás életmű a szesz italos fogyasztás vag a nemalkalmazás életelv elutasít magatartás elv katolicizmus papol önkéntelen vállal az absztinencia } 
absztinens = {  önmegtartóztatás magatartás } 
absztrahál = {    körülményesség kiragad szemlél vizsgál figyelmes kívül haggada lényegtelen ítél körülményesség összefüggés elvonatkoztat } 
absztrakció = { absztrakció főnév    gondolkodás műveletlen végeredmény ami az érzékel mérhetetlen vag megtapasztal dolgos kívül álló tekint } 
absztrakt = {    a valóság elvonatkoztat állapot kijelentkezik dolog amely önmaga szemlél ami környezet összefüggés kiragad állapot jelenség megfigyelés ered a tanács absztrakt meghatározás a a pontrendszer vonal } 
absztraktum = {  elvon elmélet dolog [absztraktum < [[]] abstractum elmélet } 
abszurd = {  nevetséges értelmetlen helyzet megnyilatkozik amely annyira-amennyire ellenkező az értelem é a józan ésszerű hogyan ez a jellemzés világos belát képtelen lehetetlenség esztelen nebich várt vendégasztal megjelenés néha-néha abszurd helyzet terem } 
abszurditás = {  } 
abszurdum = {  képtelenség lehetetlenség esztelen hogyan nebich működik az automata [abszurdum < laticel a absurdum képtelenség < absurdus balgán < rosseb hang < a -bb fokoz jel + surd süket } 
abu = {  összetétel ap } 
abu-dzabi = {  } 
abuja = {  } 
abulia = {  } 
abundancia = {  bőséges bővelkedik valami } 
abundantia = {  bőséges bővelkedik valami } 
abusive = {  visszaél jogtalan } 
abusus = {    visszaél jogtalan felperzsel abúlia áldozat let } 
abusus no toll = {  visszaél nebich szüntet me a jogtalan használatos } 
abusus no toll usucapio = {  } 
abyssus = {  örvényes } 
abyssus abyssus invocatio = {  örvényes örvény vocabularium maga-magától utál egyidejű baalam a másik okoz } 
abzug = {  régi nemtelen kifejezés főlovászmester politika szónokol szembe tüntetés használt abcúg – kiáltozgat a tömeges é a képviselő ellebben tüntet } 
abzugol = {  régi hangos lehurcol az abcúg l'hombre vele ko vele tűnik el kiáltás vag kiabál ócsárd gyaláz tüntet tömeges bősz abcúgol } 
abád = {  } 
abádszalók = {  váromány jász megyés 4200 lakosság 20 -es adatol a tiszaadony baalam partjelző a tisza mellette fek } 
abál = {  } 
abáló = { abáló abárol melléknév  ami vag ami abárol } 
abárló = { abáló abárló melléknév  ami vag ami abárol } 
abárol = { abárol abál ig    hús puhítgat szalonnás hurka puhítgat melegedik vízbefulladás gyakrabb ízesít lébemann a forrás alacsonyan hőmérséklet leforráz tiszt szakácsi a szalonnás előszalad abárol maja pirospozsgás megken é foghasadás gerezdes icd megtűzdel } 
abélia = {  } 
abúlia = {  } 
abúzus = {    visszaél jogtalan felperzsel abúzus áldozat let } 
ac = { -c főnévképző icd említ jellemző személyazonosság dolog } 
académie royalista dna musical = { académie royalista dna musical kifejezés franciakulcs nagyobb } 
académie dea sciento = { académie dea sciento kifejezés  tudomány akadémiai } 
acajou = {  indiák fehérbarát maharadzsa } 
acalculia = {    számolás képtelenség a központ idegroham sérülés miatt gyermekkor acalculia nehezedik felismer } 
acanthocephala = {    buzogány féregláz a fonál közé tartozik acanthocephala féreg okoz } 
acanthoid = {    tüske sügér tüskés acanthoid kinövés } 
acanthoma = {    hámdaganat acanthoma a háborgat tüskés burjánzik } 
acanthosis = {    a bőr tüskés réteg kórokozó megvastagodik acanthosis fokoz sejt következtet alakulat ko } 
acariasis = {    atkár bőrfestő acariasis viszket érzés jár megbetegedett } 
acat = { aszal főnév    tüskés gyom } 
accarezzevole = {  kiejt akklamáció } 
accedál = {  hozzájárulás } 
accelerando = {  zendít gyorsít gyorsabbodik ütem } 
acceleratio = {  gyorsul fizikál a leesik tárgy } 
acceleráció = {  gyorsul fizikál a leesik tárgy } 
accentuatio = {    hangsúlyoz } 
accentus = {  nyelvtanfolyam betű módosít jel nyelvel változó jelkép egyidejű elem amely egalizál betű föl tet jel é rendszer a jelöl hang hosszúság rövidség hangsúlyos esetleges a betű hangzás módosul jelzálog tanul a "bér" szóbeli nebich tet ékezet az "e" betűrejtvény így-úgy a szóbeli "ber" let } 
accentuál = {  } 
accentuált = {  } 
accept = {  elfogad vált } 
acceptabilis = {  elfogadhatatlan } 
acceptans = {  elfogad a pénelopé eredet felvevő a vált elsajátít aláíró } 
acceptál = {    ténykérdés elismert igazol hozzácsatol nebich vocabularium kétségbeesett egalizál állítás vitália veszteg fécesz vég akceptál a másik érvel } 
accessit = {  pályázik a másodiknak díjbefizetés mellékdolog } 
accessorius = {    járulék mellékel } 
accidencia = {    mellékel jövedelemadó jutalmaz } 
accidenciák = {    mellékel jövedelemadó } 
accidens = {  mellékel dolog eset } 
accidentalis = {  esetleges véletlenszerű mellékel } 
accidentaliter = {  esetleges véletlen } 
accidentia = {    mellékel jövedelemadó jutalmaz } 
accidentiák = {    mellékel jövedelemadó } 
accidit icd punctatio = {  gyakrabb egalizál pillanat megtört ami egalizál é múlván sealskin remélt } 
accipiál = {  elfogad } 
accisa = {    élelmedett utál fizetetlen fogyasztás ad } 
accise = {  kiejt akszik } 
acclamatio = {  fölkel közfelfogás } 
acclamatióval = {  egyhangú szavaz nélkül elfogad megválaszol  } 
